Title,Developer,Publisher,first_released,region_first_released_in,Excluded,released_in_eu_pal_or_na,Physical_Owned,type_owned
Gakuen Heaven: Okawari! Boy's Love Attack!,Spray,Interchannel,24/02/2005,JP,TRUE,FALSE,FALSE,
Gakuen Toshi Vara Noir,Idea Factory,Idea Factory,31/10/2002,JP,TRUE,FALSE,FALSE,
Gakuen Utopia: Manabi Straight! KiraKira Happy Festa!,Marvelous Entertainment,Marvelous Entertainment,29/03/2007,JP,TRUE,FALSE,FALSE,
Galactic Wrestling: Featuring Ultimate Muscle,AKI Corp.,Bandai,22/04/2004,JP,FALSE,TRUE,FALSE,
Galaxy Angel,Broccoli,Broccoli,17/04/2003,JP,TRUE,FALSE,FALSE,
Galaxy Angel II: Eigou Kaiki no Koku,Broccoli,Broccoli,12/03/2009,JP,TRUE,FALSE,FALSE,
Galaxy Angel II: Mugen Kairou no Kagi,Broccoli,Broccoli,18/10/2007,JP,TRUE,FALSE,FALSE,
Galaxy Angel II: Zettairyouiki no Tobira,Broccoli,Broccoli,22/06/2006,JP,TRUE,FALSE,FALSE,
Galaxy Angel: Eternal Lovers,Broccoli,Broccoli,24/02/2005,JP,TRUE,FALSE,FALSE,
Galaxy Angel: Moonlit Lovers,Broccoli,Broccoli,26/02/2004,JP,TRUE,FALSE,FALSE,
Galerians: Ash,Polygon Magic,"EnterbrainJP, |Sammy StudiosNA, PAL",25/04/2002,JP,FALSE,TRUE,FALSE,
Gallop Racer 2001,Tecmo,Tecmo,29/03/2001,JP,FALSE,TRUE,FALSE,
Gallop Racer 2003: A New Breed,Tecmo,"TecmoJP, NA, Zoo Digital PublishingPAL",12/12/2002,JP,FALSE,TRUE,FALSE,
Gallop Racer 2004,Tecmo,"TecmoJP, NA, Zoo Digital PublishingPAL",19/02/2004,JP,FALSE,TRUE,FALSE,
Gallop Racer 2006,Tecmo,Tecmo,15/12/2005,JP,FALSE,TRUE,FALSE,
Gallop Racer Inbreed,Tecmo,Tecmo,02/11/2006,JP,TRUE,FALSE,FALSE,
Gambler Densetsu Tetsuya,Athena,Athena,21/06/2001,JP,TRUE,FALSE,FALSE,
Gambler Densetsu Tetsuya Digest,Athena,Athena,27/05/2004,JP,TRUE,FALSE,FALSE,
Gambler Densetsu Tetsuya: Kurouto Choujou Kessen,Athena,Athena,03/07/2003,JP,TRUE,FALSE,FALSE,
Game Center USA: Midway Arcade Treasures,Success,Success,21/09/2006,JP,TRUE,FALSE,FALSE,
Game ni Nattayo! Dokuro-chan,Idea Factory,Idea Factory,10/11/2005,JP,TRUE,FALSE,FALSE,
Game Select 5 Wa,Yuki,Yuki,28/09/2000,JP,TRUE,FALSE,FALSE,
Game Select 5 You,Yuki,Yuki,25/01/2001,JP,TRUE,FALSE,FALSE,
Games Galaxy 2,Phoenix Games,Phoenix Games,2006,EU,FALSE,TRUE,FALSE,
Gantz: The Game,Konami,Konami,17/03/2005,JP,TRUE,FALSE,FALSE,
Garfield,The Code Monkeys,Hip Games,19/11/2004,EU,FALSE,TRUE,TRUE,Base
Garfield 2,Asobo Studio,The Game Factory,06/10/2006,EU,FALSE,TRUE,TRUE,Base
Garfield: Lasagna World Tour,EKO Software,"Blast! Entertainment LtdEU, Conspiracy EntertainmentNA",30/11/2007,EU,FALSE,TRUE,FALSE,
Garfield: Saving Arlene,EKO Software,"Titus Japan KKJP, Hip GamesEU",27/04/2006,JP,FALSE,TRUE,FALSE,
